f11_a,f02_a,f12_a,f20_a,f21_a,f21_b,f21_c,f03_a,f03_b,f13_a,f22_a,f04_a,f23_a,f14_a,f14_b,f30_a,f30_b,f31_a,f32_a,f24_a,f05_a,f33_a,f15_a,f25_a,f34_a,f40_a,f15_b,f06_a,f16_a,f41_a,f15_c,f33_b,f40_b,f14_c
5.33730823212833e-05,8.7620473516308e-06,4.5603857909211e-06,0.000142680397564076,3.31909076180682e-05,1.426464291157e-07,7.65376609885972e-08,2.54859511071795e-07,0.000296549377115587,0.000257298429763024,1.49177624222135e-05,0.0009281093400628,0.00021374067767181,2.06408437151259e-07,0.00021589094054656,3.55535495152085e-07,0.000950077676324491,0.000825124687216438,9.61511811145883e-05,0.000418484247619485,0.000911719551261959,0.00117356709525498,0.000291602515525387,0.000513576302716674,0.00168312546915809,2.51667528417002e-07,6.1721064123777e-08,6.73817221147003e-08,1.58321216105185e-07,1.61691682166943e-07,2.30396546960007e-07,1.05450199047138e-07,1.22122560823539e-07,1.80602773884424e-07
3.67595028530024e-05,6.62399051633383e-06,3.25647203550251e-06,0.000267222521609661,6.55795294773019e-05,2.02950279112806e-07,1.65938059702327e-07,2.42470363299045e-07,0.000344912532095687,0.000178765639275668,1.49707944967264e-05,0.000933538567275133,0.000409047742303291,1.32681438533398e-07,6.69478278211632e-05,3.37130536715044e-07,0.00083242898515365,0.000781965669332631,7.43850448460325e-05,0.000825753966652842,0.00092062164972906,0.00111073381534077,0.000162493173877679,0.000731648389862691,0.0016510850228176,1.03587889765342e-07,7.46051047258586e-08,8.24942764699201e-08,1.41650203299416e-07,8.77247975521696e-08,1.95359945372575e-07,1.13184927639311e-07,1.16910691794104e-07,1.52743822854929e-07
1.72605292129151e-05,5.0900461708561e-06,1.54655858855354e-06,0.000360998057626241,0.000139757615783566,2.43223152270353e-07,2.25084307192335e-07,2.31485757387457e-07,0.00038241318943276,8.43855487957485e-05,1.56909237991171e-05,0.000943955481202975,0.000563535674467631,6.53378005890547e-08,1.16947926155818e-08,2.05214547667961e-07,0.00045894705654977,0.000449168043379621,3.80643453505454e-05,0.00115255211338738,0.000941026736997743,0.000638220783403934,6.11697505237795e-05,0.000851625394862539,0.000957500325623095,1.08508115299506e-07,4.94099340229599e-08,1.01048596413915e-07,8.61221439882295e-08,2.07275961268096e-07,1.1366774250714e-07,7.23612402545042e-08,2.87537759436059e-07,8.84508428994418e-08
1.32354875130649e-09,5.12641619628218e-06,6.85654941184806e-09,0.000390384730009793,0.000161931063943909,2.57750313548149e-07,2.47269208019473e-07,2.28906599328381e-07,0.000395509390346546,1.78667058823062e-07,1.74199015017006e-05,0.000951999663536778,0.000616885669957156,9.57508048838824e-09,6.52141681804384e-08,4.62406038202452e-08,1.48946287330095e-06,1.49531188424663e-06,7.85613976570948e-08,0.00126393404039593,0.000945937912246371,7.60241969578122e-06,8.73642611820612e-07,0.000878537713341403,2.97437505039903e-05,1.88932544052391e-07,2.33233986396758e-08,1.11042872177741e-07,1.4337443664988e-08,2.88722610016482e-07,1.98834499876835e-08,1.26906721022325e-08,3.7441269818846e-07,3.87186072785926e-08
1.81096414761619e-05,5.57767118731021e-06,1.62921372228554e-06,0.000360197449871989,0.000138137066345889,2.4284703985066e-07,2.25870683166803e-07,2.31608178330709e-07,0.000383136000953286,8.91671484016387e-05,1.69978281021804e-05,0.000947111949247383,0.000565504940300659,6.33580123181773e-08,1.33761164925185e-06,2.06216967651403e-07,0.000484849121637896,0.000473989198940664,3.9392634677605e-05,0.00115385347786995,0.000932276293101161,0.000687426396821102,6.67332420339749e-05,0.000847250305514035,0.00105714911307052,1.11570837813069e-07,4.92040271585969e-08,1.00926687113087e-07,7.64941978032833e-08,2.06988327196453e-07,1.13805149107546e-07,7.29881961385097e-08,2.8488331097758e-07,8.87206004260369e-08
3.61031019596061e-05,6.99639187396201e-06,3.40777523226643e-06,0.00027250216532101,6.89330140302466e-05,2.02299085427735e-07,1.66256096057112e-07,2.44727908238014e-07,0.000348059796206809,0.000176813425496129,1.56868516115482e-05,0.000936942886810483,0.000419811688016191,1.35389649272305e-07,6.3515134939476e-05,3.38202709366889e-07,0.000830111927258441,0.000781053092753556,7.18186174058898e-05,0.000846511788318665,0.000907500693868976,0.00112372666889538,0.000159051013258242,0.000735276581354242,0.00166558555807985,9.80521191493095e-08,7.40857117762361e-08,8.41180981668573e-08,1.33915179012724e-07,9.22045460751939e-08,1.95241319042297e-07,1.13615892090048e-07,1.20331519083349e-07,1.52858089468245e-07
5.39841287661759e-05,9.3994556484374e-06,5.07200388135258e-06,0.00013737802236908,3.8190017261042e-05,1.45699874788715e-07,7.66339724853707e-08,2.59937999649425e-07,0.00029558843472116,0.000262155219385687,1.50781819105098e-05,0.000929755679257486,0.000205972965472788,2.06747594719697e-07,0.000226009992888453,3.57051474677908e-07,0.000955221611189681,0.000824768561856557,9.5100154975807e-05,0.000400046618893834,0.000893330235854165,0.00118501801835699,0.000298494266888735,0.000495099158579257,0.0016594238172179,2.50747552305017e-07,6.11258962082197e-08,6.53203731556351e-08,1.53514529995891e-07,1.61551570545234e-07,2.30356363063394e-07,1.05810641385926e-07,1.24975667522831e-07,1.80412295530735e-07
7.16086786772967e-05,1.09607701809405e-05,4.98887744468311e-06,3.12905256699107e-05,0.000170474279321417,5.94074420877499e-08,6.5917736092603e-08,2.88010935988137e-07,0.000229604551637724,0.000339874907654337,1.53737043587777e-05,0.000930586705865035,4.74936770157483e-05,2.86609574114601e-07,0.000495679595744368,2.47311163856356e-07,0.000836786856774018,0.000581606856764927,0.000111152945170932,0.000122601260709721,0.000926083333990765,0.000853010977745028,0.000497934938298214,9.12174803998738e-05,0.00103730698805497,2.75956014235957e-07,3.43789548517137e-08,7.31427972482584e-08,1.31901970449716e-07,2.31821574362567e-07,2.1555069197236e-07,5.42277790226394e-08,2.35321555246624e-07,1.67079108262e-07
8.96225982614117e-05,1.64014110583284e-05,8.44439778793434e-06,0.000236998907958158,0.00033447650755644,4.36775972782209e-08,1.72734943482793e-07,3.17604509905728e-07,0.000156165811305609,0.000427043394237382,1.56765963674422e-05,0.000938374635208775,0.0003400026789632,3.70290322427621e-07,0.000879695143438727,7.74140233545112e-08,0.000491098684444767,6.22358330196043e-05,0.000105912036568155,0.000709030382753263,0.000943060490449919,0.000184278875346041,0.000713610499963247,0.000496345624418073,0.00010497440351389,1.19527875078758e-07,1.04867541041555e-07,1.19639917639822e-07,8.52144463890203e-08,1.52289972627551e-07,1.63292961496347e-07,7.10809897379297e-08,2.06250494859521e-07,1.21830955892438e-07
0.000106503251801204,2.18558482257061e-05,1.14955596134734e-05,0.000443371678067552,0.000499196748501774,1.16796245308301e-07,3.08694186585988e-07,3.53222155578209e-07,8.57195740084275e-05,0.000507917187449098,1.69034416909069e-05,0.000965088103346509,0.000614401803439325,4.55876676660931e-07,0.00130358531777905,2.81483433037626e-07,3.83298726832268e-05,0.000574834469307252,9.65616036937206e-05,0.00124384439706931,0.0010036526406333,0.000598918582223594,0.000940795470852381,0.00113468414329767,0.00136870733743442,2.34699869742536e-07,2.29480604598941e-07,1.85846682104464e-07,6.81831854133404e-08,9.50419834148334e-08,9.8324939806727e-08,1.85190795416126e-07,6.27500282761144e-08,6.69208360384116e-08
0.000123857081662763,2.759570459459e-05,1.43087096390158e-05,0.000656967110270253,0.000671409437282197,2.01360407345402e-07,4.46691856571925e-07,3.91618032698106e-07,1.67922310113378e-05,0.000593134670771182,1.99219197222388e-05,0.00101959742017083,0.000886345475166203,5.42425541806928e-07,0.00176669686671869,6.01799825673252e-07,0.000449866488183773,0.00126097060548937,8.6286187476208e-05,0.00176744153568225,0.00111502454927208,0.00139726968420805,0.0011921775651366,0.00179789767115175,0.00262137516785725,6.05537402406372e-07,3.70497816590572e-07,2.63532073152005e-07,9.36771575401443e-08,3.18138386917791e-07,4.6159880051885e-08,3.17610691313257e-07,1.3196025051338e-07,4.17480601439982e-08
0.000135790859651053,8.00771037620011e-06,5.17832598958806e-05,0.000663075171631668,0.000682956902460476,2.50260801813929e-07,4.80224985627039e-07,3.36286200374105e-07,6.18033101501653e-05,0.000457592618404034,0.000184953711317859,0.00100942576885599,0.00063667770334097,5.41450656556408e-07,0.00177999891059844,6.07055401206244e-07,0.000456979678200991,0.00140075599885531,0.000239064405871538,0.00170251948492879,0.00163973404026565,0.000772756678114445,0.00151808226698064,0.00245668632957753,0.00246578357479576,6.09315807268714e-07,4.99511572070879e-07,1.01660187843818e-07,2.93432864140914e-07,3.63792461243e-07,1.75386201393539e-07,2.88041684881034e-07,1.39605536452782e-07,7.68060462920253e-08
0.000116839537952473,1.32904395546041e-05,4.59655351763282e-05,0.000448841260727592,0.000497340083544117,1.54094442110244e-07,3.30620541115929e-07,2.97673251054969e-07,1.58757491224461e-05,0.000389249347106367,0.00013007109009299,0.000958699014170751,0.000441272530388541,4.53684953344494e-07,0.00130695291554879,2.85538300385838e-07,2.98258485822999e-05,0.000651103051575472,6.39826503941469e-05,0.00119894752179478,0.00149761128936408,0.000242735528511798,0.00126589500319641,0.00158655138672919,0.00126064227180144,2.36271398972745e-07,3.24552273223827e-07,5.2019302447084e-08,1.65292654340126e-07,1.13684310290431e-07,2.0044428723465e-07,1.84279800128553e-07,5.84160612793035e-08,1.15926322243334e-07
9.78555937152807e-05,1.79700499459997e-05,3.97373241813854e-05,0.000237777156371521,0.000315940499008291,5.33766267318055e-08,1.83064909801757e-07,2.62267500352688e-07,9.64797810658549e-05,0.000324024347868653,7.63397349105211e-05,0.000932967077478187,0.000238648013531097,3.65903413103274e-07,0.000862760492912346,7.82289178427903e-08,0.000486936046628847,5.64269220364235e-05,0.000101642151343438,0.000668528352631032,0.00140814020546142,0.00029302192556093,0.00102635935949274,0.000711895772939242,1.93741920525009e-05,1.19819040499971e-07,1.62960784130662e-07,6.13076751406157e-08,6.29437011993612e-08,1.54524371333277e-07,2.35466561119034e-07,8.75901823904785e-08,2.00492474684337e-07,1.64131367532607e-07
7.8681346192453e-05,2.19338129500408e-05,3.27923720354977e-05,3.96360473062922e-05,0.00014585042888072,4.95631446195929e-08,6.95336968601886e-08,2.2541455124898e-07,0.000175686624637018,0.000259979247982665,2.47135183057894e-05,0.000926766005191746,3.59576648556847e-05,2.80708851559958e-07,0.000483601515391675,2.44939495713909e-07,0.000818271766990242,0.000603356286168334,0.000228757621809766,0.00012328400139252,0.00136799745470433,0.000720910157898697,0.000794852096328804,7.38544209432744e-05,0.00102566831330365,2.76858922178579e-07,5.17041209907994e-08,9.58882128434478e-08,6.55607528239302e-08,2.46261270603345e-07,2.58640955127175e-07,3.64010398101693e-08,2.31656595112167e-07,2.04747932395609e-07
5.93045755434054e-05,2.51227582200468e-05,2.53628920165031e-05,0.000133038264642168,2.32035887635331e-06,1.31381348234867e-07,8.77334198639848e-08,2.03474950007512e-07,0.000246807180073469,0.00019537012032253,2.00988938489033e-05,0.000931487588543664,0.000152943548976857,2.00403265370965e-07,0.00020570880164125,3.54221265419649e-07,0.000938937669620414,0.00087772324439098,0.000283439120923445,0.000390425279062166,0.00136268581554166,0.000928010637212482,0.000573773550130763,0.000667105760269077,0.00160336934613863,2.49875968530861e-07,4.28841413893898e-08,1.40516783776336e-07,1.09498361649423e-07,1.77336695019421e-07,2.51751685420153e-07,5.09303541212016e-08,1.24115100676929e-07,2.11576529602871e-07
3.96885518067621e-05,2.74291224828732e-05,1.72449575425103e-05,0.000267702281682682,0.000117959889697316,1.95450921211574e-07,1.85493486493848e-07,1.78046247470419e-07,0.00030378876442732,0.000130825567585466,5.56206190732849e-05,0.000942569848290133,0.000306832935093405,1.28422449167539e-07,4.72173957901065e-05,3.36674823410273e-07,0.000814562581845879,0.000832014351131862,0.000254320377735777,0.000814060506043131,0.00138093354209389,0.00084928767417441,0.000369736646025692,0.00104099991076202,0.00156450797691844,1.02625240450802e-07,6.61989309183787e-08,1.8634191941259e-07,1.11757442971653e-07,8.66039515678426e-08,2.0382130411759e-07,6.09915386075269e-08,1.12800862862069e-07,1.75059300910825e-07
1.98997071200774e-05,2.89981825704696e-05,9.05447592270705e-06,0.000355053821895931,0.000193035381208695,2.39554148100705e-07,2.5014958086371e-07,1.66747468255727e-07,0.000341534018427348,6.46359108024676e-05,7.86807923444297e-05,0.000955973570621159,0.000411696588145115,6.26849043502051e-08,8.78630313538449e-06,2.05415031168564e-07,0.000472816403299975,0.000503597289541079,0.000153263006073035,0.00110613849369939,0.00141197399608237,0.000500362312074449,0.000182730667810431,0.00124257022923743,0.000947561315791712,1.12675002119406e-07,4.75594135656417e-08,2.20045160360369e-07,7.20265778375634e-08,2.11838354970426e-07,1.16356381595883e-07,4.14609052905914e-08,2.8331530672539e-07,1.00679608681941e-07
8.72994107895734e-10,2.92315610354268e-05,4.2493399027183e-09,0.000387499766539431,0.000220502142418802,2.559311516131e-07,2.74401213156244e-07,1.63774858319203e-07,0.000356619793549996,1.61968739309842e-07,8.74937281176391e-05,0.000964995073518437,0.000451914993162547,9.55790664464114e-09,1.89156524707347e-07,3.96712623385771e-08,1.74025737027229e-06,1.79578262107228e-06,3.64563572598619e-07,0.00122081224074046,0.00142740471814052,9.04626899720582e-06,2.14652736372669e-06,0.00131165298881616,3.20178549436504e-05,1.95052649045108e-07,2.02514626015065e-08,2.32679513564251e-07,1.16939660494523e-08,2.97451173265653e-07,2.06987165964697e-08,6.73686312093383e-09,3.70320068556355e-07,4.22742276706986e-08
