f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
2.8382121848422e-07,8.06112752264885e-08,3.37035146494001e-08,4.41402937923796e-07,3.53072385709095e-07,4.45817530908229e-07,1.1233356042579e-07,2.19712891405596e-07,4.21667340434276e-07,1.78708328802208e-08,3.24721733068145e-07,4.79602684271366e-07,8.35445139640973e-08,7.68896358641511e-08,2.9268402965863e-07,2.92833965518276e-07,4.88294571212751e-07,3.34877633947426e-07,7.61683476097375e-08,2.5818881058295e-07,3.47894872539933e-07,3.83121027261938e-08,6.11486291027684e-08,3.98398629704712e-07,3.14372332038153e-07,2.06311237515136e-07,1.97845721584215e-07,4.13146140926459e-07,3.39952670092918e-07,4.17380197907822e-07,1.58004970576748e-07
2.70232485197661e-07,1.04786965487202e-07,6.11678960880145e-08,4.38473924205799e-07,3.39080281166924e-07,4.33810839946356e-07,9.58919559903736e-08,2.37498605302551e-07,4.15050365099967e-07,4.7455412911905e-08,3.45959338852533e-07,4.76022894670246e-07,9.39466511129395e-08,8.51496788478568e-08,3.21368730248152e-07,2.74257743042665e-07,4.8754970597828e-07,3.15571686789456e-07,6.09145721960516e-08,2.30144693526224e-07,3.32697955260869e-07,7.15214135623102e-08,3.05845772601292e-08,3.83434497218109e-07,3.51147884302423e-07,1.39517081927305e-07,1.38202628607557e-07,4.11423679134718e-07,3.17963877257189e-07,4.08532616598919e-07,9.27457291670868e-08
2.55480360508337e-07,9.79958718270724e-08,5.74270073373617e-08,3.81693506721656e-07,2.97723883535516e-07,3.86494877968623e-07,7.24646373568511e-08,2.37308635062048e-07,3.73950280030646e-07,4.09872413939966e-08,3.25327273022494e-07,3.770635519948e-07,6.44874052862712e-08,5.27465643340922e-08,2.82233203192174e-07,2.11948698652644e-07,4.16321334733395e-07,3.078290670528e-07,7.8771510348271e-08,2.23686832483384e-07,3.21359817234644e-07,6.45803631963671e-08,3.31886684492505e-08,3.3677064526472e-07,2.79741211865984e-07,1.29137761767526e-07,1.27861356046214e-07,2.82082616773547e-07,2.21765038166958e-07,3.28267084187648e-07,9.25677168193043e-08
2.40897622177357e-07,9.11274493253337e-08,5.33029116715619e-08,3.24981411483903e-07,2.56843379419229e-07,3.39657554813635e-07,5.01113915435849e-08,2.36801185778748e-07,3.33231081180547e-07,3.37885804696089e-08,3.04170358317482e-07,2.78550124484842e-07,3.76037563145207e-08,2.40561560681844e-08,2.41984420856496e-07,1.50762813865913e-07,3.45636135882635e-07,2.99720275630022e-07,9.68374633959169e-08,2.1771702389662e-07,3.09397703699673e-07,5.57871608885726e-08,3.78072927100757e-08,2.90023210555441e-07,2.06469887868896e-07,1.19427370011003e-07,1.17972581697915e-07,1.60046182588502e-07,1.31298964318762e-07,2.48168209680404e-07,9.40521266184988e-08
2.2637679779933e-07,8.46542259968322e-08,4.93265739650061e-08,2.68807950951541e-07,2.16552772250245e-07,2.94000903419981e-07,3.31901372548746e-08,2.37421940635618e-07,2.94379567266963e-07,2.74857817038014e-08,2.8385524559158e-07,1.84817269559402e-07,3.32390453190497e-08,5.21382256278257e-08,2.01736263517759e-07,9.36833349182226e-08,2.77194377925427e-07,2.93468515186036e-07,1.16540464044969e-07,2.12545763179703e-07,2.95911715161384e-07,4.67910207086274e-08,4.26755221612086e-08,2.43521247342439e-07,1.35318799281983e-07,1.09895635225765e-07,1.08245956392556e-07,1.26874129833154e-07,9.59133825219318e-08,1.70128733552914e-07,9.29426979484928e-08
2.11633220398651e-07,7.83295457643409e-08,4.58080478626192e-08,2.12914130955546e-07,1.7590123318171e-07,2.48081535102573e-07,1.931227005185e-08,2.38392167744981e-07,2.55527951337458e-07,2.24731942341431e-08,2.63922290993753e-07,1.01507841560264e-07,3.42287424989879e-08,8.95595906461749e-08,1.62376702396852e-07,4.45491862715844e-08,2.09098070714702e-07,2.87529601512639e-07,1.35631176763849e-07,2.06255244716039e-07,2.81677480731884e-07,3.98772557926235e-08,4.59668218810333e-08,1.96181187236699e-07,7.41989815709346e-08,1.00398107043313e-07,9.78954440136434e-08,1.16046792751166e-07,7.58879512715492e-08,9.88626910929026e-08,8.88141191619221e-08
1.96828210785142e-07,7.26350584084847e-08,4.26091439645596e-08,1.5860968797138e-07,1.36256382475607e-07,2.03740987918539e-07,2.98793568650835e-08,2.40950025947877e-07,2.18620012446561e-07,1.67905079205264e-08,2.4520328474944e-07,8.70795117578544e-08,5.49735416831975e-08,1.26998682234803e-07,1.23844818621402e-07,5.28292548582126e-08,1.46691288870464e-07,2.8460102745405e-07,1.53916016864332e-07,2.00299463645635e-07,2.67455970816885e-07,3.40579379250817e-08,4.9371495271291e-08,1.49444334552973e-07,6.78628404247067e-08,9.54857519010482e-08,8.91755973973761e-08,1.70532040509332e-07,1.14476679411167e-07,7.89103465206179e-08,8.13828289209144e-08
1.82184883774484e-07,6.70864540463997e-08,3.91250476130818e-08,1.05303774856034e-07,9.74891131714773e-08,1.6043999424287e-07,4.91816971010918e-08,2.43768150623494e-07,1.82730160611682e-07,1.01224166774415e-08,2.26489887234504e-07,9.57665693359702e-08,8.14748752813746e-08,1.63776247880076e-07,8.49740046930865e-08,7.94726919508224e-08,8.72436360774681e-08,2.8234166046348e-07,1.72016157040888e-07,1.94997840044207e-07,2.53090269562339e-07,2.70740032147291e-08,5.40974863217461e-08,1.03626934722594e-07,7.85708091076702e-08,9.31840637991041e-08,8.17470476216565e-08,2.43599993419075e-07,1.69634905590486e-07,7.63816522380248e-08,7.45263545369877e-08
1.6756651006463e-07,6.20098258481346e-08,3.54518682587721e-08,6.49440598165972e-08,6.20606365801707e-08,1.19991217216026e-07,7.18514822634465e-08,2.46741759102853e-07,1.49364502920748e-07,6.40469095896413e-09,2.07353121368426e-07,1.44325930922058e-07,1.01954751691582e-07,1.91046698785627e-07,5.12194925357492e-08,1.1394727903264e-07,5.57589400955355e-08,2.80500682301107e-07,1.84548158818486e-07,1.87828785853386e-07,2.36359559301975e-07,2.06905088580504e-08,5.83257475680778e-08,6.35852472289311e-08,1.18634499248137e-07,8.87815400493236e-08,7.3334862991959e-08,2.73269102400509e-07,1.93726563165712e-07,1.19219081700914e-07,6.27849386919717e-08
1.5183802201261e-07,6.10485606568393e-08,3.49196619407678e-08,3.39216917451277e-08,3.14674467595998e-08,8.22264603655479e-08,9.52277397525721e-08,2.52247612387863e-07,1.18272514058204e-07,5.07692851411083e-09,1.9115581617135e-07,1.99654212051517e-07,1.19699258464245e-07,2.13429659554166e-07,2.48859310815804e-08,1.47649836459271e-07,3.54616921913257e-08,2.76157024173556e-07,1.93696285820776e-07,1.78820773849097e-07,2.17441963179681e-07,1.38230315777196e-08,6.2527044677176e-08,3.04859559505208e-08,1.65068566131112e-07,7.56692243581788e-08,5.80212656114425e-08,2.87593407583392e-07,2.0552028287165e-07,1.70113506336796e-07,4.73304567594951e-08
