err [%],used f1,used f2,used f3,used f4,used f5,used f6,used f7,used f8,Mech params
4.5654489659659,f11,f02,f20,f23,f30,f31,f32,f24,positive MP
4.57146378602936,f11,f02,f12,f21,f22,f23,f24,f33,positive MP
4.57331018327256,f11,f02,f20,f12,f22,f30,f31,f33,positive MP
4.57887877065102,f11,f02,f20,f12,f21,f22,f32,f33,positive MP
4.57897155662383,f11,f02,f20,f22,f30,f31,f32,f33,positive MP
4.58394010057479,f11,f02,f12,f23,f30,f31,f32,f33,positive MP
4.59811968625963,f11,f02,f20,f12,f21,f30,f31,f32,positive MP
4.59897341126302,f11,f02,f20,f12,f21,f31,f32,f33,positive MP
4.61627490980164,f11,f02,f20,f21,f22,f30,f31,f32,positive MP
4.61970921181027,f11,f02,f20,f21,f22,f31,f32,f33,positive MP
4.6216506716883,f20,f12,f21,f22,f23,f30,f31,f33,positive MP
4.62285690572786,f02,f12,f21,f22,f30,f31,f24,f33,positive MP
4.62453463658841,f11,f02,f20,f12,f21,f22,f30,f31,positive MP
4.62869154496507,f11,f02,f20,f12,f21,f22,f31,f33,positive MP
4.62998495750323,f11,f02,f21,f22,f23,f31,f32,f24,positive MP
4.63520963523712,f11,f02,f12,f22,f23,f30,f32,f33,positive MP
4.65230608549428,f20,f12,f21,f22,f23,f31,f32,f33,positive MP
4.65779882152423,f11,f02,f20,f12,f21,f30,f32,f33,positive MP
4.66348147968731,f11,f12,f21,f22,f23,f30,f31,f33,positive MP
4.66955983609433,f12,f21,f22,f23,f30,f31,f32,f33,positive MP
4.6710116124945,f11,f20,f12,f23,f30,f31,f32,f33,positive MP
4.67188137070335,f11,f20,f12,f22,f23,f30,f31,f32,positive MP
4.67442576992434,f11,f20,f12,f21,f23,f30,f31,f33,positive MP
4.67572735412712,f20,f12,f22,f30,f31,f32,f24,f33,positive MP
4.67600060101901,f20,f12,f21,f22,f30,f31,f32,f24,positive MP
4.67797786673449,f02,f12,f21,f22,f30,f32,f24,f33,positive MP
4.67929999365208,f12,f21,f22,f30,f31,f32,f24,f33,positive MP
4.67952013019899,f11,f20,f12,f21,f22,f23,f30,f31,positive MP
4.68439358629611,f11,f02,f20,f21,f22,f30,f32,f33,positive MP
4.68599568740838,f11,f20,f12,f21,f23,f30,f31,f32,positive MP
4.68625803650031,f20,f12,f21,f30,f31,f32,f24,f33,positive MP
4.69062564794718,f11,f20,f12,f22,f23,f30,f31,f33,positive MP
4.69116741987624,f11,f02,f21,f22,f23,f30,f31,f24,positive MP
4.69210407512807,f11,f02,f20,f12,f21,f22,f30,f33,positive MP
4.69500521190353,f11,f02,f12,f22,f30,f31,f32,f33,positive MP
4.70001172541769,f11,f02,f21,f22,f30,f31,f32,f33,positive MP
4.70124606408982,f02,f20,f12,f21,f22,f30,f24,f33,positive MP
4.71204965406799,f02,f12,f21,f22,f31,f32,f24,f33,positive MP
4.71382949336502,f11,f12,f21,f23,f30,f31,f32,f33,positive MP
4.71950395116689,f11,f02,f21,f22,f23,f30,f32,f24,positive MP
4.72472744878366,f20,f12,f21,f22,f23,f30,f32,f33,positive MP
4.73078434326598,f02,f12,f22,f30,f31,f32,f24,f33,positive MP
4.73197990757509,f11,f02,f20,f21,f22,f30,f31,f33,positive MP
4.73452267344973,f11,f02,f20,f12,f21,f30,f31,f33,positive MP
4.73579744059867,f11,f12,f22,f23,f30,f31,f32,f33,positive MP
4.73671056705338,f02,f20,f12,f21,f22,f31,f24,f33,positive MP
4.74086295444673,f11,f02,f21,f23,f30,f31,f32,f24,positive MP
4.74226689531884,f11,f02,f12,f22,f23,f30,f31,f33,positive MP
4.74235710091574,f20,f12,f22,f23,f30,f31,f32,f33,positive MP
4.74286580925819,f02,f12,f21,f22,f30,f31,f32,f24,positive MP
4.74473043493522,f11,f02,f12,f21,f23,f31,f32,f24,positive MP
4.75196721576814,f11,f12,f21,f22,f23,f30,f31,f32,positive MP
4.75715313621116,f02,f20,f12,f22,f30,f31,f24,f33,positive MP
4.77354270204814,f20,f12,f21,f22,f23,f30,f31,f32,positive MP
4.77468038486561,f11,f02,f20,f21,f30,f31,f32,f33,positive MP
4.78179675888326,f02,f20,f12,f21,f22,f30,f31,f24,positive MP
4.8067010950728,f11,f02,f12,f21,f23,f30,f32,f24,positive MP
4.80811827637765,f02,f20,f12,f22,f31,f32,f24,f33,positive MP
4.8141175144861,f02,f20,f12,f22,f30,f32,f24,f33,positive MP
4.81529044198869,f02,f12,f21,f30,f31,f32,f24,f33,positive MP
4.81551956785535,f20,f12,f21,f22,f30,f31,f24,f33,positive MP
4.82726347078667,f11,f02,f12,f21,f22,f23,f31,f24,positive MP
4.83337083923696,f20,f12,f21,f22,f31,f32,f24,f33,positive MP
4.83400702275532,f11,f02,f12,f21,f23,f30,f31,f24,positive MP
4.83691678812309,f02,f20,f12,f21,f22,f30,f32,f24,positive MP
4.83723878563989,f11,f12,f21,f22,f30,f31,f32,f24,positive MP
4.84005616857012,f20,f12,f21,f23,f30,f31,f32,f33,positive MP
4.84155821636377,f11,f12,f21,f30,f31,f32,f24,f33,positive MP
4.8418391970404,f02,f20,f12,f21,f30,f31,f24,f33,positive MP
4.84439454307474,f11,f20,f12,f21,f30,f31,f32,f24,positive MP
4.84759371395486,f11,f02,f22,f23,f30,f31,f24,f33,positive MP
4.84772616206467,f02,f20,f12,f21,f22,f31,f32,f24,positive MP
4.84960954775192,f11,f02,f12,f21,f22,f23,f32,f24,positive MP
4.85171239751947,f11,f12,f22,f30,f31,f32,f24,f33,positive MP
4.85390013797093,f11,f20,f12,f22,f30,f31,f32,f24,positive MP
4.85772991443587,f11,f20,f12,f21,f22,f23,f31,f33,positive MP
4.85987803957891,f11,f20,f12,f30,f31,f32,f24,f33,positive MP
4.86395258232945,f11,f20,f12,f22,f23,f31,f32,f33,positive MP
4.8648410519224,f11,f02,f23,f30,f31,f32,f24,f33,positive MP
4.86630442426973,f11,f02,f12,f22,f23,f30,f31,f32,positive MP
4.8684470490115,f02,f20,f12,f21,f22,f32,f24,f33,positive MP
4.8689274746283,f11,f02,f12,f22,f23,f31,f32,f33,positive MP
4.87587156238245,f02,f12,f21,f22,f23,f30,f31,f33,positive MP
4.87810544425071,f11,f20,f12,f21,f23,f31,f32,f33,positive MP
4.8819240875738,f11,f02,f22,f23,f31,f32,f24,f33,positive MP
4.88272368141275,f11,f02,f22,f23,f30,f32,f24,f33,positive MP
4.88793790302698,f11,f02,f12,f21,f22,f23,f30,f24,positive MP
4.8948393390568,f11,f20,f12,f21,f22,f23,f31,f32,positive MP
4.9135649064585,f02,f20,f12,f21,f30,f32,f24,f33,positive MP
4.93048977791656,f02,f20,f12,f21,f31,f32,f24,f33,positive MP
4.9404290924834,f02,f12,f21,f22,f23,f30,f32,f33,positive MP
4.94506027270315,f02,f20,f12,f22,f30,f31,f32,f24,positive MP
4.96362336889955,f02,f12,f21,f22,f23,f31,f32,f33,positive MP
4.98037001062683,f02,f20,f12,f21,f22,f23,f31,f33,positive MP
4.98128836592811,f02,f20,f12,f21,f22,f23,f30,f33,positive MP
5.02113832152765,f20,f12,f21,f22,f30,f32,f24,f33,positive MP
5.03154890658124,f11,f20,f12,f22,f31,f32,f24,f33,positive MP
5.03289692971595,f11,f20,f12,f21,f22,f31,f32,f24,positive MP
5.03364044272935,f11,f20,f12,f21,f31,f32,f24,f33,positive MP
5.03624313537245,f11,f02,f12,f23,f30,f32,f24,f33,positive MP
5.04063296759444,f02,f20,f12,f30,f31,f32,f24,f33,positive MP
5.0462347155235,f11,f12,f21,f22,f23,f31,f32,f33,positive MP
5.06562850197643,f11,f12,f21,f22,f31,f32,f24,f33,positive MP
5.06743742931105,f02,f20,f12,f22,f23,f30,f31,f33,positive MP
5.06770265546767,f02,f20,f12,f21,f22,f23,f30,f31,positive MP
5.06890982205337,f11,f20,f12,f21,f22,f23,f30,f33,positive MP
5.07523936274836,f11,f20,f12,f22,f23,f30,f32,f33,positive MP
5.08141624916209,f11,f02,f12,f23,f30,f31,f24,f33,positive MP
5.08960625195063,f11,f20,f12,f21,f22,f30,f31,f24,positive MP
5.09199673947033,f11,f20,f12,f21,f30,f31,f24,f33,positive MP
5.09241457724894,f11,f20,f12,f21,f22,f23,f30,f32,positive MP
5.09439814814372,f02,f20,f12,f21,f30,f31,f32,f24,positive MP
5.09619882843754,f02,f20,f12,f22,f23,f31,f32,f33,positive MP
5.0974614538795,f11,f20,f12,f21,f23,f30,f32,f33,positive MP
5.09820762079784,f11,f02,f22,f23,f30,f31,f32,f24,positive MP
5.10132761600622,f11,f02,f12,f23,f31,f32,f24,f33,positive MP
5.10951382572104,f02,f12,f21,f22,f23,f30,f31,f32,positive MP
5.11036260880545,f02,f20,f12,f21,f22,f23,f30,f32,positive MP
5.11070006288663,f02,f20,f12,f22,f23,f30,f32,f33,positive MP
5.11326693940011,f02,f20,f12,f21,f22,f23,f31,f32,positive MP
5.12900223126638,f11,f20,f12,f21,f22,f31,f24,f33,positive MP
5.14889516332559,f11,f20,f12,f21,f22,f30,f32,f24,positive MP
5.14891860578594,f02,f20,f12,f21,f22,f23,f32,f33,positive MP
5.14929809410782,f11,f12,f21,f22,f23,f30,f32,f33,positive MP
5.15027936398047,f11,f20,f12,f21,f30,f32,f24,f33,positive MP
5.15643826589464,f02,f12,f21,f23,f30,f31,f32,f33,positive MP
5.15650970540216,f11,f20,f12,f22,f30,f32,f24,f33,positive MP
5.16144741925379,f11,f12,f21,f22,f30,f32,f24,f33,positive MP
5.16668990707253,f02,f20,f12,f21,f23,f30,f31,f33,positive MP
5.16735370640416,f02,f12,f22,f23,f30,f31,f32,f33,positive MP
5.17947497307631,f11,f12,f21,f22,f30,f31,f24,f33,positive MP
5.18809408128579,f20,f12,f22,f23,f30,f31,f24,f33,positive MP
5.18820549780302,f12,f22,f23,f30,f31,f32,f24,f33,positive MP
5.18921376935647,f12,f21,f22,f23,f30,f31,f32,f24,positive MP
5.19288238154591,f11,f12,f22,f23,f30,f31,f32,f24,positive MP
5.19654933382734,f20,f12,f21,f22,f23,f30,f31,f24,positive MP
5.2002797810465,f02,f20,f21,f22,f30,f31,f24,f33,positive MP
5.21641693548537,f11,f20,f12,f23,f30,f31,f32,f24,positive MP
5.22248897822072,f20,f12,f22,f23,f30,f31,f32,f24,positive MP
5.22292750623788,f02,f20,f12,f21,f23,f30,f32,f33,positive MP
5.22591561209372,f11,f02,f12,f22,f23,f30,f24,f33,positive MP
5.22738839606292,f11,f20,f12,f21,f22,f30,f24,f33,positive MP
5.22968308078755,f11,f12,f21,f23,f30,f31,f32,f24,positive MP
5.23089648471361,f02,f20,f12,f21,f23,f31,f32,f33,positive MP
5.23199007140442,f12,f21,f22,f23,f31,f32,f24,f33,positive MP
5.23261270480082,f20,f12,f22,f23,f31,f32,f24,f33,positive MP
5.23838070740988,f20,f12,f21,f22,f23,f31,f32,f24,positive MP
5.24708898474304,f11,f20,f12,f22,f30,f31,f24,f33,positive MP
5.25180729087358,f02,f21,f22,f30,f31,f32,f24,f33,positive MP
5.25455531432511,f02,f12,f21,f22,f23,f30,f24,f33,positive MP
5.25641212552541,f20,f12,f21,f22,f23,f31,f24,f33,positive MP
5.25872651508267,f11,f12,f23,f30,f31,f32,f24,f33,positive MP
5.28820033280163,f11,f02,f12,f23,f30,f31,f32,f24,positive MP
5.29632044998268,f11,f20,f12,f21,f23,f30,f31,f24,positive MP
5.30600461910815,f20,f12,f21,f23,f30,f31,f24,f33,positive MP
5.31101255976286,f02,f20,f21,f22,f30,f32,f24,f33,positive MP
5.31111426143538,f02,f20,f22,f30,f31,f32,f24,f33,positive MP
5.32516991699698,f20,f12,f23,f30,f31,f32,f24,f33,positive MP
5.32972086815909,f12,f21,f23,f30,f31,f32,f24,f33,positive MP
5.33116648290795,f02,f20,f12,f22,f23,f31,f24,f33,positive MP
5.33180420158827,f20,f12,f21,f23,f31,f32,f24,f33,positive MP
5.34392110077538,f02,f12,f22,f23,f31,f32,f24,f33,positive MP
5.35510694946755,f02,f20,f12,f22,f23,f30,f31,f32,positive MP
5.36349526753225,f20,f12,f21,f23,f30,f31,f32,f24,positive MP
5.36986408831258,f02,f20,f12,f22,f23,f30,f24,f33,positive MP
5.37313282264393,f11,f20,f12,f22,f23,f30,f31,f24,positive MP
5.37342399721354,f11,f02,f12,f22,f23,f30,f32,f24,positive MP
5.38606779917336,f20,f12,f22,f23,f30,f32,f24,f33,positive MP
5.39214839590079,f12,f21,f22,f23,f30,f31,f24,f33,positive MP
5.39511619213867,f12,f21,f22,f23,f30,f32,f24,f33,positive MP
5.39649683204249,f11,f02,f12,f22,f23,f32,f24,f33,positive MP
5.40038091643055,f11,f20,f12,f23,f30,f31,f24,f33,positive MP
5.40594251461654,f02,f12,f22,f23,f30,f32,f24,f33,positive MP
5.40644772852768,f11,f12,f21,f22,f23,f30,f31,f24,positive MP
5.41292386845053,f11,f20,f21,f22,f30,f31,f32,f24,positive MP
5.41828435605056,f11,f02,f12,f22,f23,f31,f24,f33,positive MP
5.42084231396716,f20,f12,f21,f22,f23,f30,f32,f24,positive MP
5.43515003749514,f02,f12,f21,f22,f23,f30,f32,f24,positive MP
5.43712019337942,f02,f20,f21,f22,f23,f30,f31,f33,positive MP
5.44075579962255,f02,f20,f21,f22,f30,f31,f32,f24,positive MP
5.44081579836721,f11,f20,f21,f30,f31,f32,f24,f33,positive MP
5.44160344347839,f11,f12,f21,f22,f23,f31,f24,f33,positive MP
5.44178468503262,f20,f12,f21,f22,f23,f30,f24,f33,positive MP
5.44335473943863,f02,f20,f21,f22,f31,f32,f24,f33,positive MP
5.44405642573606,f02,f20,f12,f21,f22,f23,f31,f24,positive MP
5.44589413609719,f02,f20,f12,f22,f23,f32,f24,f33,positive MP
5.44755756641121,f11,f20,f12,f21,f22,f23,f31,f24,positive MP
5.45080182604056,f02,f20,f12,f21,f22,f23,f30,f24,positive MP
5.45153097800172,f11,f20,f12,f22,f23,f31,f32,f24,positive MP
5.45185308092853,f11,f12,f21,f23,f30,f31,f24,f33,positive MP
5.45738268283915,f20,f12,f21,f23,f30,f32,f24,f33,positive MP
5.4574607605917,f11,f20,f12,f21,f23,f31,f24,f33,positive MP
5.46285513256102,f11,f20,f12,f23,f31,f32,f24,f33,positive MP
5.46285932478937,f02,f20,f12,f23,f30,f31,f32,f33,positive MP
5.47117237605591,f02,f21,f22,f23,f30,f31,f32,f33,positive MP
