rho,Ex,Ey,Ez,Gxy,Gyz,Gxz,vxy,vyz,vxz,used f1,used f2,used f3,used f4
401.381330344067,6960575642.53021,531843891.83751,577140126.983969,855481116.477938,714818468.325125,47528212.4951123,0.416352031995726,0.430097540762982,0.393167473978433,f11,f12,f23,f33
401.381330344067,11044746919.1147,747513709.820876,577140126.983969,842309643.175082,714818468.325125,47528212.4951123,0.453463413130365,0.425216520681069,0.397230940772241,f11,f12,f30,f31
401.381330344067,11848897484.1096,658500460.384942,577140126.983969,827392087.635234,714818468.325125,47528212.4951122,0.439688459412959,0.419261010835525,0.394144384016699,f11,f12,f30,f32
401.381330344067,6319329961.98976,879058525.063636,577140126.983969,873125249.848974,714818468.325125,47528212.4951125,0.425219257456253,0.423149827911855,0.390741012635679,f11,f12,f30,f24
401.381330344067,11162673250.7476,717872210.659845,577140126.983969,837478454.282689,714818468.325125,47528212.4951123,0.447619830945513,0.423241610313148,0.395686750390207,f11,f12,f30,f33
401.381330344067,12104471690.088,642589465.661305,577140126.983969,826025187.655639,714818468.325125,47528212.4951127,0.446948272609955,0.424654435586475,0.396604013698311,f11,f12,f31,f32
401.381330344067,6276158475.84592,995950084.208087,577140126.983969,869859972.31692,714818468.325125,47528212.4951123,0.426511796514168,0.426364188677077,0.391714600931684,f11,f12,f31,f24
401.381330344067,11380731584.3463,719485461.841256,577140126.983969,834401514.907402,714818468.325125,47528212.4951123,0.449046946353808,0.425015694192967,0.396390450445519,f11,f12,f31,f33
401.381330344067,6555898963.43792,607578325.242638,577140126.983969,880877062.589685,714818468.325125,47528212.4951122,0.434603111924318,0.425561661052825,0.39271850184468,f11,f12,f32,f24
401.381330344067,11026916946.6133,621477168.536006,577140126.983969,847227918.749972,714818468.325125,47528212.4951124,0.453458460210307,0.423163205287825,0.397083356118278,f11,f12,f32,f33
401.381330344067,6409464856.8216,686167196.967596,577140126.983969,883732107.788803,714818468.325125,47528212.4951123,0.435263998303868,0.424569542074416,0.392975385759423,f11,f12,f24,f33
401.381330344067,-2847980563.76529,816383177.1136,577140126.983969,889848408.791682,714818468.325125,47528212.4951123,0.449474884728098,0.430894746652157,0.393679880253988,f11,f21,f22,f23
401.381330344067,10168311424.3513,734112357.272902,577140126.983969,828261753.602089,714818468.325125,47528212.4951121,0.44756605915503,0.418920822662162,0.396906428514129,f11,f21,f22,f30
401.381330344067,11287406247.7958,712663480.711102,577140126.983969,824993705.897533,714818468.325125,47528212.4951124,0.449076042133407,0.422216918007895,0.39826338302201,f11,f21,f22,f31
401.381330344067,6652354000.62672,692746945.378553,577140126.983969,857359730.604278,714818468.325125,47528212.4951123,0.440764519932604,0.423895692769883,0.394509944961723,f11,f21,f22,f32
401.381330344067,3577050309.67052,761743273.329475,577140126.983969,867961333.766209,714818468.325125,47528212.4951125,0.453921291591881,0.425453601758517,0.396126109733058,f11,f21,f22,f24
401.381330344067,6691450809.0009,740695529.088126,577140126.983969,854605202.006634,714818468.325125,47528212.4951123,0.45527693194305,0.423308574932637,0.397562159700346,f11,f21,f22,f33
401.381330344067,870096200.389534,930365312.913741,577140126.983969,803544138.583371,714818468.325125,47528212.4951124,0.422335158241702,0.413029031431065,0.39099604682683,f11,f21,f23,f30
401.381330344067,4529031821.01846,882919086.280196,577140126.983969,775709874.730093,714818468.325125,47528212.4951124,0.420542092071421,0.435944613405097,0.396326747661503,f11,f21,f23,f31
401.381330344067,-4112079299.31221,770015882.648251,577140126.983969,882452793.141724,714818468.325125,47528212.4951125,0.446908079440142,0.423735661591157,0.395780916428014,f11,f21,f23,f32
401.381330344067,1878761224.87998,732860042.72212,577140126.983969,845380963.384472,714818468.325125,47528212.4951122,0.430183485536568,0.428316979600055,0.394603342485693,f11,f21,f23,f24
401.381330344067,-4078969325.69574,841725555.659039,577140126.983969,885231695.293926,714818468.325125,47528212.4951124,0.467167742033594,0.422887230631938,0.399948667627072,f11,f21,f23,f33
401.381330344067,12024304178.9156,704112757.61524,577140126.983969,841756596.974999,714818468.325125,47528212.4951123,0.452450578165526,0.42435435055184,0.39681510205785,f11,f21,f30,f31
401.381330344067,13216454246.7559,648993679.444819,577140126.983969,837713636.876897,714818468.325125,47528212.4951124,0.435918220534476,0.42266329506109,0.393828256919793,f11,f21,f30,f32
401.381330344067,4670234507.3543,859686708.904992,577140126.983969,831059373.060649,714818468.325125,47528212.4951119,0.445758708608565,0.415044571344812,0.394355633371254,f11,f21,f30,f24
401.381330344067,11781989234.8293,702022179.269302,577140126.983969,838322039.378525,714818468.325125,47528212.4951121,0.447403870863852,0.423836250649474,0.395703768577748,f11,f21,f30,f33
401.381330344067,12916637652.5237,648836253.427929,577140126.983969,839104389.301552,714818468.325125,47528212.4951124,0.436976838135824,0.423516719885801,0.394174560775732,f11,f21,f31,f32
