f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3,used f4
61.2455169292653,105.411516516303,134.246483816332,161.984550298914,177.765434763581,294.614966798543,465.854013433011,416.066883171034,469.031521917644,521.560148909673,711.928562053404,685.901660434566,f11,f02,f22,f30
61.4410102847513,105.599594398613,130.498338284357,162.379702443682,174.876795241829,293.106463133772,464.898694488739,409.464198828346,463.613554021261,514.069218424101,711.979138179788,679.900725330659,f11,f02,f22,f31
61.5071402515506,105.204000763817,131.423491797121,162.237268991196,175.647403070615,293.624458426635,465.238677396676,410.660136228457,464.440451795051,516.209902926415,711.594073343012,681.796382177153,f11,f02,f22,f32
60.0917166572193,99.8444905122902,112.779055862971,156.466545571623,159.060971023458,276.420071264955,441.880918454867,370.032822435487,424.165429593426,467.66899081868,680.815017809804,632.562033450523,f11,f02,f22,f24
61.6814238825418,105.296801754303,130.994651208645,162.557017090804,175.459943267523,293.879624023201,465.817000397196,410.057719907548,464.04441817045,515.823397849356,712.500912627747,681.952969634224,f11,f02,f22,f33
57.5646008828073,102.44025684607,129.680082845547,154.410907559247,170.831682149074,280.648320893685,444.007857928799,403.451332472046,453.666465912235,498.12590131779,683.062625258152,654.073709904815,f11,f02,f23,f30
57.7918423956289,103.333620577501,122.826762366498,155.310265379703,165.396731278021,277.896257449086,442.716265249052,391.843307052858,444.779211380772,484.630675330558,684.535221169251,643.277867130583,f11,f02,f23,f31
58.1457669871186,101.343433845943,129.070890204442,154.628741737936,170.617059546312,281.447008197884,445.231804302593,400.771618301363,451.423461425041,498.809307448374,683.161886281463,655.810143438344,f11,f02,f23,f32
61.3641463844842,103.178681807511,-18.2931874309984,159.663043619236,53.3481714026912,206.674695043845,381.419129096601,136.222820799967,224.162736710606,185.98697831083,645.549778126391,390.011907076423,f11,f02,f23,f24
59.0040855273379,101.797995885739,122.174772638668,156.165906570147,165.800846593825,279.965245306822,445.459294874892,389.109261591136,441.898211141063,486.354832489319,685.674900884093,647.280008305364,f11,f02,f23,f33
61.9860146775881,105.399845074564,135.473841351583,163.097492053658,179.448608171457,297.247119076052,469.286844296511,418.458788117054,471.414589362913,526.299984765108,715.640974750018,691.883197910093,f11,f02,f30,f31
61.8868111139395,105.668084278527,134.836229961723,163.110673200084,178.87340944826,296.74187135519,468.823455240092,417.629925103623,470.793291041073,524.647304083459,715.627954613216,690.281347875386,f11,f02,f30,f32
58.6806234803687,99.5270493784116,136.527522149665,154.30029132336,177.13840843362,286.104274696992,448.809371084071,412.522465685338,460.170911549184,515.601677227044,682.89372142758,671.060144549146,f11,f02,f30,f24
61.9530173147971,105.516626998281,136.249470047982,163.130069867445,180.05193079972,297.6712454451,469.742900987414,419.974376997615,472.839826422884,527.988722768363,716.170345272346,693.340294728955,f11,f02,f30,f33
61.9899184643013,105.533299511494,133.183467609249,163.176292984924,177.581647153442,296.028929251155,468.276757382845,414.426332427317,468.058243064693,521.393165980193,715.19778871668,687.647003561579,f11,f02,f31,f32
58.7154021442262,99.8844930958703,134.071985170405,154.57866345331,175.142892925055,285.025720000357,448.238670376284,408.363732926691,457.0397365124,510.686446688695,683.358976423643,667.023043634563,f11,f02,f31,f24
62.0643129467684,105.437115205065,134.241067804836,163.235381981648,178.500765135961,296.782592991538,469.035090370841,416.248677131494,469.612607963384,523.910475520885,715.699142015362,690.012836500384,f11,f02,f31,f33
59.0105035903415,99.0925348043985,133.864166509623,154.524139127763,175.153480018015,285.311995625164,448.438780604558,407.059448429008,455.545794416701,510.913551034348,682.505764878475,667.657316198203,f11,f02,f32,f24
62.0614141102388,105.533180722598,133.619704613965,163.287372872216,178.00093859575,296.465042798584,468.796552723351,415.242139756777,468.79546655116,522.563935430297,715.702684171384,688.862025401015,f11,f02,f32,f33
59.338144226707,99.1430336842659,134.83122613195,155.056099857987,176.246225370226,286.737055595375,450.293130796478,409.005271789196,457.371271174108,513.991844678075,684.512088047616,671.227915811069,f11,f02,f24,f33
61.7732660938889,93.5294632029242,146.173015165274,155.290271836658,187.048094976365,297.029721045272,460.068207722511,422.976281757721,467.38268857404,544.9451652606,685.314789239271,702.41171188281,f11,f20,f12,f21
61.5001710499979,91.8591522848032,146.376342334425,153.803531519365,186.882511298626,295.571346857576,456.953412109927,421.281464191352,464.534868759784,543.803689286633,679.201992988331,699.923110057134,f11,f20,f12,f22
61.1736452575667,76.4461188468309,144.483553727553,143.365011868538,184.238205265244,285.830354712381,434.480924752416,398.873889818447,433.744657721998,531.213639673323,631.098653845255,680.396138526746,f11,f20,f12,f23
62.1272905762992,92.0744852069521,146.991820289815,154.889821900842,187.968549704659,297.679800156886,459.943585659411,422.79039435138,466.297129650536,547.020390838073,682.87358995585,704.399010849663,f11,f20,f12,f30
62.0191531016749,93.135630294757,147.452112261064,155.406016532677,188.329394408539,298.172204863819,461.04601442476,424.94331978591,468.809634147767,548.101919064455,685.575232055952,705.564383460714,f11,f20,f12,f31
61.5521274052626,92.9507605896884,144.289925227407,154.535202918277,185.406908407747,294.9773822345,456.904041201421,418.964103343374,463.03522390267,539.283453512063,681.164441319584,696.397585664751,f11,f20,f12,f32
62.8429940976591,76.1774965661874,146.787708415091,145.765713351124,187.466135044764,291.479417594342,442.538526508371,403.106557372852,438.199546261816,541.686291105954,639.616905698518,693.981675603564,f11,f20,f12,f24
61.7614363247854,92.9124963240007,146.604340237775,154.860813416291,187.417059925496,296.883840523617,459.184675987538,423.077073005126,466.863848933691,545.265683813093,683.267359145574,702.261869053229,f11,f20,f12,f33
61.8962865406528,72.6196504362982,146.752938910135,142.128855883262,186.102274496617,287.411419971174,435.479671465896,398.085758229213,431.584229404038,538.588500721558,626.335457539246,687.596121610381,f11,f20,f21,f22
62.015426088524,37.3263486346336,147.59254598951,119.778881700675,184.31500545744,270.861946683872,393.551421218346,355.806471255105,370.879127950548,527.288391397573,526.318019047549,661.863995514738,f11,f20,f21,f23
61.7374997182158,90.6183166901507,146.381656994333,153.379032594781,186.972996695213,295.623747370967,456.51162443777,419.735879226183,462.564960095641,544.189594922056,676.916094939579,700.333255027711,f11,f20,f21,f30
