err [%],used f1,used f2,used f3,used f4,Mech params
6.80241609133753,f11,f21,f22,f24,positive MP
6.81236278079866,f02,f12,f30,f24,positive MP
6.82063625352082,f12,f30,f24,f33,positive MP
6.82332069291568,f11,f21,f24,f33,positive MP
6.82446291162972,f11,f20,f24,f33,positive MP
6.83146860223275,f02,f20,f24,f33,positive MP
6.8474683723065,f11,f20,f21,f24,positive MP
6.85086190180206,f02,f23,f30,f33,positive MP
6.87074470107753,f20,f21,f32,f24,positive MP
6.87546190311487,f20,f22,f32,f24,positive MP
6.87563283342228,f31,f32,f24,f33,positive MP
6.88047951326033,f11,f30,f32,f33,positive MP
6.89087700681824,f12,f21,f22,f33,positive MP
6.90866314086483,f20,f12,f22,f32,positive MP
6.94656318882201,f20,f21,f24,f33,positive MP
6.96039765385683,f20,f12,f21,f23,positive MP
6.98629292567527,f21,f30,f24,f33,positive MP
7.0198009432724,f11,f20,f32,f24,positive MP
7.03063539363706,f02,f20,f23,f33,positive MP
7.03900965809095,f11,f21,f23,f31,positive MP
7.05486709487249,f02,f22,f23,f32,positive MP
7.06462172936575,f21,f30,f32,f24,positive MP
7.0829695432598,f11,f12,f32,f24,positive MP
7.09023178005936,f02,f22,f32,f24,positive MP
7.11363122694372,f20,f23,f30,f33,positive MP
7.14756793304073,f11,f22,f24,f33,positive MP
7.16071603254621,f20,f30,f32,f24,positive MP
7.17233631677292,f20,f21,f22,f24,positive MP
7.19136582989012,f20,f21,f23,f31,positive MP
7.21478525673144,f21,f30,f31,f24,positive MP
7.2187324144359,f02,f12,f31,f24,positive MP
7.23491454360394,f12,f21,f23,f33,positive MP
7.24477593951309,f12,f22,f23,f32,positive MP
7.25285776730828,f11,f32,f24,f33,positive MP
7.25861802309911,f11,f21,f32,f24,positive MP
7.2621425462832,f20,f31,f32,f24,positive MP
7.33671142978836,f11,f22,f32,f24,positive MP
7.36654740176536,f11,f20,f32,f33,positive MP
7.42791267862742,f21,f31,f24,f33,positive MP
7.44561227270174,f30,f31,f32,f24,positive MP
7.44615138711316,f02,f23,f31,f33,positive MP
7.5152860005589,f22,f23,f30,f32,positive MP
7.52492759603809,f20,f22,f24,f33,positive MP
7.60417984443352,f21,f22,f23,f31,positive MP
7.62910729797916,f11,f12,f31,f24,positive MP
7.63262513235721,f20,f22,f23,f24,positive MP
7.63546530274651,f22,f30,f24,f33,positive MP
7.65182504143384,f23,f32,f24,f33,positive MP
7.66145304857875,f21,f22,f23,f24,positive MP
7.66510273289831,f02,f31,f24,f33,positive MP
7.66889140006127,f30,f31,f24,f33,positive MP
7.67227973709101,f20,f23,f31,f32,positive MP
7.68642639871094,f21,f31,f32,f24,positive MP
7.72526190965986,f02,f20,f21,f23,positive MP
7.75233845960966,f20,f21,f23,f24,positive MP
7.76558939670476,f20,f21,f23,f30,positive MP
7.78465206514143,f20,f23,f24,f33,positive MP
7.81576501470486,f02,f21,f23,f30,positive MP
7.81736163449364,f11,f02,f23,f31,positive MP
7.81765207480413,f20,f23,f30,f32,positive MP
7.84196231190471,f11,f20,f23,f30,positive MP
7.84961485331366,f11,f30,f24,f33,positive MP
7.86285366455625,f02,f20,f21,f24,positive MP
7.87338942048726,f11,f02,f23,f33,positive MP
7.87563693407563,f02,f12,f23,f30,positive MP
7.89213330346533,f11,f12,f22,f24,positive MP
7.8980898057054,f02,f21,f31,f32,positive MP
7.92110417431509,f23,f30,f32,f24,positive MP
7.93054042676181,f20,f23,f32,f24,positive MP
7.97026459927036,f11,f12,f23,f32,positive MP
7.98728077857322,f12,f23,f30,f24,positive MP
8.02130532473806,f02,f23,f30,f32,positive MP
8.023674861064,f21,f23,f30,f24,positive MP
8.04925170248637,f02,f21,f30,f24,positive MP
8.07083288334058,f22,f23,f32,f24,positive MP
8.08001400494445,f02,f21,f30,f31,positive MP
8.14720599646627,f20,f12,f30,f24,positive MP
8.15954382489407,f20,f23,f30,f24,positive MP
8.16747913061791,f20,f23,f30,f31,positive MP
8.17379844892318,f11,f23,f24,f33,positive MP
8.18940228213372,f02,f20,f23,f32,positive MP
8.20424689555332,f23,f31,f32,f24,positive MP
8.20449753648992,f11,f31,f24,f33,positive MP
8.25958911272981,f23,f30,f31,f24,positive MP
8.27066528419041,f11,f12,f23,f33,positive MP
8.28159631042744,f23,f30,f31,f32,positive MP
8.2947891970339,f21,f22,f23,f30,positive MP
8.34053987074268,f11,f20,f23,f24,positive MP
8.34708397201149,f22,f30,f31,f24,positive MP
8.40611738590311,f20,f23,f31,f24,positive MP
8.42477034898952,f11,f22,f23,f24,positive MP
8.43036917070159,f23,f31,f32,f33,positive MP
8.50134323762028,f02,f23,f31,f32,positive MP
8.52743974638067,f22,f23,f30,f24,positive MP
8.55832529544462,f23,f30,f24,f33,positive MP
8.5593793436069,f21,f23,f31,f24,positive MP
8.56582022880898,f11,f21,f23,f24,positive MP
8.57779316609585,f22,f31,f24,f33,positive MP
8.5849992024838,f21,f22,f24,f33,positive MP
8.61299953749844,f02,f21,f23,f31,positive MP
8.6195900446397,f02,f30,f32,f24,positive MP
8.6307109337344,f20,f12,f22,f24,positive MP
8.63117450881647,f11,f22,f30,f24,positive MP
8.63985985142274,f02,f21,f22,f23,positive MP
8.65138345881701,f02,f20,f32,f24,positive MP
8.65353207592142,f02,f21,f22,f24,positive MP
8.68448158466593,f02,f20,f23,f31,positive MP
8.6967832169415,f12,f21,f32,f33,positive MP
8.70308087781288,f02,f20,f23,f30,positive MP
8.80539875158467,f02,f12,f23,f31,positive MP
8.91618585679064,f20,f30,f31,f24,positive MP
8.92809980551102,f02,f23,f30,f31,positive MP
8.93879603688156,f21,f23,f24,f33,positive MP
8.94455232053617,f21,f23,f31,f32,positive MP
8.98502194311771,f21,f23,f30,f31,positive MP
9.0087472489735,f23,f30,f32,f33,positive MP
9.05667068791153,f02,f21,f31,f24,positive MP
9.09940992813881,f21,f23,f30,f32,positive MP
9.17304175188097,f11,f23,f30,f32,positive MP
9.19742566264508,f02,f20,f23,f24,positive MP
9.20697442602189,f11,f21,f23,f30,positive MP
9.23796136087821,f12,f21,f23,f24,positive MP
9.24364436783156,f21,f23,f32,f24,positive MP
9.28485714986468,f21,f22,f32,f24,positive MP
9.30550591122501,f20,f12,f32,f24,positive MP
9.32090958594305,f02,f12,f22,f23,positive MP
9.37786835037123,f11,f23,f32,f24,positive MP
