f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3
49.8187110444541,105.5000012068,147.499995797281,145.100378064136,177.560342844903,272.899608998866,431.620884459815,436.141923099386,483.582789551344,521.000018196033,669.230957659296,657.612957334398,f02,f20,f32
35.0020379604615,105.500017335621,147.499987486818,123.000041375198,163.32440208155,234.807606542712,377.679082658354,430.966527115196,475.023942252655,482.279000755066,606.500020396582,587.441518336886,f02,f20,f24
57.0795222434579,105.500006730003,147.499987404179,155.930508114853,184.536560672037,291.566340092135,458.054708251582,438.678079425724,487.776997745876,539.974967503013,699.971862102398,691.999979818442,f02,f20,f33
56.7895203470295,105.5,147.796785120776,155.5,184.5,290.990283643065,457.158303765105,439.11599343002,488.07823615449,539.868456535294,698.861172057258,691.199246842693,f02,f12,f21
56.8143907787538,105.499998636156,142.449125144631,155.499997054345,180.16222151018,288.000008425016,454.37704619997,429.409194313869,479.646377660822,528.197283287096,696.855863420684,680.998025353611,f02,f12,f22
57.3587890491119,105.499997237826,25.397378649534,155.499995070312,85.2151651271158,222.547757177389,393.499998528143,216.942839245527,295.086551133223,272.734130808704,652.963194547622,457.709857579932,f02,f12,f23
56.8372371482524,105.500002647674,137.540848570093,155.500027460818,176.18086675788,285.255480591681,451.824395919477,420.499948902651,471.907336309904,517.485123078425,695.015430874563,671.635085416367,f02,f12,f30
56.8472744361332,105.499999912749,135.379831279877,155.500005886673,174.427934061704,284.047061062372,450.700431211944,416.577372674955,468.499969388677,512.768713037482,694.205021457517,667.512663864772,f02,f12,f31
56.8297249554705,105.500001755729,139.151374374391,155.49999457443,177.487230402,286.155987997979,452.661931967438,423.423285698522,474.44669751144,521.000009590047,695.619262732587,674.707228375374,f02,f12,f32
57.9350718642913,105.499998018641,-98.5094158952127,155.499997349594,-15.2923909451853,153.262350389005,329.057734557935,-7.9664474390061,99.718119171352,2.3099679955936,606.499990556244,221.344985432852,f02,f12,f24
56.7875674502195,105.499997351956,148.216571640588,155.499997630325,184.840510997611,291.225014785991,457.376624391925,439.877963919604,488.740125198193,540.784631175532,699.018577041407,692.000028872491,f02,f12,f33
55.214097028512,105.500011662574,149.652647701877,153.16300238199,184.500010231185,287.999992960854,452.419441993617,441.937399529525,490.099407893684,539.824288631761,692.923630871938,687.319216026232,f02,f21,f22
35.6265526475041,105.499993513795,172.726781683606,124.106549618076,184.499992415529,250.820948750624,393.499950810732,477.016004682223,515.228456575475,539.2746842042,619.100466795065,639.077560799395,f02,f21,f23
67.1844668725125,105.499993009082,135.551516652026,170.920006502851,184.499993107188,310.720874042664,488.426359003598,420.50002004676,474.742399206664,540.160081143064,738.03845589211,716.80064493324,f02,f21,f30
