err [%],used f1,used f2,used f3,used f4,used f5,Mech params
4.79550458886668,f20,f12,f21,f23,f33,positive MP
4.79792037555197,f11,f02,f21,f22,f30,positive MP
4.80332474040473,f11,f02,f21,f22,f33,positive MP
4.80489866630447,f11,f02,f20,f12,f32,positive MP
4.80835913018986,f20,f12,f21,f22,f33,positive MP
4.81203751457884,f11,f02,f22,f24,f33,positive MP
4.81300239090125,f12,f21,f23,f30,f33,positive MP
4.8149636052599,f11,f02,f12,f22,f33,positive MP
4.81537928127112,f11,f02,f12,f21,f33,positive MP
4.81597725039031,f11,f12,f21,f22,f32,positive MP
4.81734522248375,f11,f02,f12,f21,f23,positive MP
4.82290897961767,f12,f21,f22,f23,f30,positive MP
4.82297517554532,f02,f21,f30,f32,f33,positive MP
4.82547062932994,f11,f20,f22,f30,f33,positive MP
4.8273248507429,f12,f30,f31,f32,f24,positive MP
4.82766945708299,f11,f02,f12,f30,f24,positive MP
4.83191781191768,f12,f21,f23,f31,f33,positive MP
4.84215582779139,f20,f12,f31,f32,f24,positive MP
4.84741437487707,f11,f02,f12,f31,f32,positive MP
4.8587833765884,f02,f20,f21,f31,f32,positive MP
4.85902277260131,f12,f22,f23,f30,f33,positive MP
4.86651771000821,f11,f20,f12,f23,f31,positive MP
4.87670173270836,f11,f02,f22,f30,f33,positive MP
4.87938097215649,f20,f21,f30,f31,f32,positive MP
4.87967385070681,f02,f30,f31,f32,f33,positive MP
4.88427703273555,f20,f12,f22,f23,f30,positive MP
4.88617369197711,f11,f02,f20,f31,f32,positive MP
4.88749348008141,f11,f02,f21,f31,f32,positive MP
4.88896142984533,f11,f02,f21,f32,f33,positive MP
4.90342709708394,f11,f02,f20,f22,f31,positive MP
4.91261412753973,f11,f02,f22,f30,f32,positive MP
4.91382593999316,f20,f12,f22,f23,f31,positive MP
4.91689778952278,f11,f02,f22,f30,f31,positive MP
4.92289858791048,f12,f31,f32,f24,f33,positive MP
4.92753341612894,f11,f02,f21,f30,f32,positive MP
4.94550884138707,f11,f02,f21,f31,f33,positive MP
4.94569148041649,f11,f02,f30,f31,f33,positive MP
4.95164899199881,f20,f12,f23,f30,f33,positive MP
4.95435895837728,f12,f21,f22,f31,f24,positive MP
4.95926630832341,f12,f21,f31,f32,f24,positive MP
4.96991115783982,f02,f12,f22,f32,f24,positive MP
4.97143885555081,f11,f02,f12,f24,f33,positive MP
4.97232529944435,f11,f02,f20,f22,f30,positive MP
4.97436733476055,f02,f20,f12,f22,f24,positive MP
4.97553633563424,f11,f22,f31,f32,f33,positive MP
4.9788668452601,f12,f21,f30,f31,f24,positive MP
4.97978712359274,f11,f02,f20,f30,f32,positive MP
4.98833579533302,f11,f02,f30,f31,f32,positive MP
4.99000603830301,f20,f12,f21,f31,f24,positive MP
4.99037028432561,f11,f02,f20,f32,f33,positive MP
4.99109580027999,f11,f02,f30,f32,f33,positive MP
5.00044555317611,f12,f22,f31,f32,f24,positive MP
5.00533336286753,f11,f12,f23,f31,f33,positive MP
5.00635471027823,f20,f12,f23,f31,f33,positive MP
5.00647581176289,f12,f21,f31,f24,f33,positive MP
5.01833312553472,f20,f12,f30,f32,f24,positive MP
5.02269383413946,f11,f02,f20,f12,f22,positive MP
5.02668151133573,f20,f12,f21,f23,f30,positive MP
5.0288440177304,f11,f02,f21,f30,f33,positive MP
5.03467058728841,f02,f12,f31,f24,f33,positive MP
5.03666621468983,f11,f12,f21,f23,f31,positive MP
5.0492844559683,f11,f02,f20,f12,f31,positive MP
5.0505955843662,f11,f02,f21,f30,f31,positive MP
5.05883675667883,f12,f22,f30,f32,f24,positive MP
