f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
1.21085818248228e-06,1,3.4827807147171e-06,2,2.60845293095193e-06,4,2.46538092697831e-06,3,4.40299067856386e-06,5,7.21124999953031e-07,6,2.60936831916577e-06,7,7.38591981795606e-07,8,2.43764129561235e-06,9,3.23620406006844e-06,11,4.3919231820308e-06,10,9.1978803929842e-07,12,1.24599246646643e-06,13,1.79165911776411e-06,14,4.15295908393639e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.22506773697931e-06,1,7.25208271481663e-06,2,1.44499809258829e-06,3,4.48174026320536e-06,4,1.00294533421243e-05,5,9.87697003008923e-07,6,5.61016706533514e-06,8,1.77006406059093e-06,7,4.25436667222309e-06,11,1.39307997614976e-06,10,8.04109863882916e-06,12,2.04056133203503e-07,9,7.2479746643895e-06,13,4.95272265086826e-06,14,4.83700791903053e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.35578806754193e-06,1,4.08782404057593e-06,2,2.05304417806902e-06,4,2.16755265529572e-06,3,4.70205883406616e-06,5,1.07970692925861e-06,6,2.58081505113053e-06,7,4.66677825010985e-07,8,2.23105593280838e-06,9,1.09691125180344e-06,11,3.53027941246362e-06,10,1.85989933416093e-06,12,4.95158009250517e-07,14,1.91052720932368e-06,13,NaN,NaN,5.81637481952996e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.11543269471416e-06,1,2.84599318567733e-06,2,1.80055769200234e-06,3,2.10924162430099e-06,4,3.43612844194104e-06,5,6.04559169597941e-07,6,1.78184825956298e-06,7,1.03653583494125e-06,8,1.47129486689263e-06,9,2.69131411014763e-06,10,2.66151246028033e-06,11,1.32816742668437e-06,12,7.86499065809314e-07,13,1.24338744557462e-06,14,3.16955189054606e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.12548105395422e-06,1,2.89525068841039e-06,2,1.00835068435327e-06,3,2.04240020528851e-06,4,3.75901991243703e-06,5,7.0006629331606e-07,6,2.1872594681587e-06,7,9.1704172662397e-07,8,1.92858523962216e-06,9,2.33535919535082e-06,10,3.32529102164922e-06,11,1.4157103964753e-06,12,8.88203879587336e-07,13,1.90618188496428e-06,14,3.4025310998765e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.69650035600073e-06,1,5.52667749841799e-06,2,3.9084142408819e-06,3,4.24923699133495e-06,4,7.37236579447092e-06,5,8.4608182076511e-07,6,4.56933711875923e-06,7,1.05261701383064e-06,8,4.4046554830905e-06,9,8.88825598431482e-06,11,8.95617349882667e-06,10,1.18926801259725e-06,12,1.34390450597801e-06,13,4.22882565111885e-06,14,4.3652842963931e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.34027856920445e-06,1,4.02217231542474e-06,2,3.10344331818726e-06,3,3.18138246239689e-06,4,5.36250282648472e-06,5,9.9891761061331e-07,6,3.43139658252532e-06,7,6.45637969737137e-07,8,3.45937347602302e-06,9,6.95624490473249e-06,11,7.06308567447861e-06,10,1.02969143354767e-06,12,2.26105821482958e-06,13,2.31892192933327e-06,14,5.02400668063734e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.23596375642651e-06,1,3.59197708805252e-06,2,1.4850162111542e-06,3,2.51979776155027e-06,4,4.55140492989517e-06,5,1.20300216062302e-06,6,2.65572414345781e-06,7,5.34100571878338e-07,8,2.38857908113485e-06,9,3.24373153786169e-06,10,4.12688033287899e-06,11,1.00336719778516e-06,12,1.51004544165355e-06,13,1.45379585827258e-06,14,4.30733255984953e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.64964764005287e-06,1,5.16809047133347e-06,2,1.17392941072578e-06,3,3.18426369820845e-06,4,6.53350454900307e-06,5,1.01520473438824e-06,6,3.64931665636532e-06,7,8.44848470433377e-07,8,2.24725804405926e-06,9,2.41892530832605e-06,10,4.84668602339274e-06,11,1.35172630129553e-06,12,1.13947994247408e-06,13,2.53776029536914e-06,14,3.95851509360121e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.14101259827212e-06,1,6.75220721033298e-06,2,1.30031461355629e-06,3,3.42992864933752e-06,4,6.26283294277124e-06,5,7.13548364775043e-07,6,2.33392100088415e-06,7,2.24735024062376e-06,8,1.13545334091263e-06,9,1.35343221548066e-06,10,2.08343707431467e-06,12,1.71988048068127e-06,11,9.41662134498631e-07,13,1.08511000618157e-06,14,3.17541898669491e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
