f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
672.279250614666,1,820.980205702388,2,1309.29762712613,3,1550.00925485423,4,1636.72998832633,5,1756.86269229173,6,2094.09190845637,7,2229.87861300712,8,NaN,NaN
764.36200734313,1,807.131934336975,2,1420.89638760577,4,1403.91293436274,3,1753.19277755726,6,1694.70840783443,5,2337.02093230612,7,2385.75021682108,8,NaN,NaN
674.044407677814,1,836.987213744115,2,1348.67568456175,3,1644.42559409683,4,1716.98501658835,5,1856.8136272952,6,2279.18757258002,7,2368.57570620997,8,NaN,NaN
564.649194813818,1,809.260586742326,2,1194.52269185084,3,1386.02842124865,4,1606.04021701969,6,1544.06094851445,5,2125.96846993826,8,1980.52327374177,7,NaN,NaN
714.220131171403,1,789.251190006371,2,1358.80482473593,3,1455.19501636306,4,1587.79679063546,5,1704.81306394894,6,2052.00202086714,7,2261.39504356948,8,NaN,NaN
734.757831678237,1,911.059166860258,2,1440.39182620779,3,1614.91495677196,4,1875.14515436577,6,1823.63898428187,5,2449.10375866335,8,NaN,NaN,2395.94166737719,7
699.438737879799,1,833.967642018982,2,1387.00213580872,3,1807.24150090954,5,1721.79983653584,4,2009.06562401328,6,2275.32973406372,7,2495.67039183385,8,NaN,NaN
669.058592654116,1,681.46848634417,2,1225.43400699848,3,1333.18763227308,4,1444.55119235923,5,1568.94850373232,6,1946.89088878435,7,2055.38605254447,8,NaN,NaN
667.84225426424,2,622.995176713183,1,1237.83555008063,3,1452.49483426316,5,1383.61462709387,4,1681.23891866751,6,1928.21744305194,7,NaN,NaN,2004.02161212642,8
656.115665670606,1,773.246640927776,2,1273.15706861062,3,1355.36537284866,4,1618.02979725746,6,1568.44930278475,5,2074.04896383142,7,2148.08120634603,8,NaN,NaN
692.134314131926,1,846.883632672414,2,1360.87099414189,3,1754.40671107392,5,1681.4959305125,4,1943.57939467565,6,2125.22276933825,7,2404.54612953792,8,NaN,NaN
805.732454660254,1,1025.66181147396,2,1620.01801353619,3,1958.72161278376,4,2065.68816614013,5,2217.03387029262,6,2701.28222926578,7,2822.244096977,8,NaN,NaN
658.619444245651,1,701.46092000209,2,1278.15865775522,3,1460.74579337255,4,1521.26855315552,5,1714.04272281864,6,2086.90222981236,7,NaN,NaN,2143.27160161852,8
805.470675352151,1,892.471806003465,2,1542.60412816592,3,1826.94434277746,4,1854.56899966402,5,2087.4338619618,6,2444.88298506042,7,2671.17542501911,8,NaN,NaN
772.828088930935,1,860.018458193523,2,1457.5849205529,3,1540.25355592867,4,1754.36496586956,5,1825.47876484255,6,2288.43710671703,7,2422.58529279623,8,NaN,NaN
656.101592985345,1,716.286510812163,2,1256.65591794519,3,1453.91231837328,4,1485.39127316061,5,1672.19853316082,6,1950.28144462102,7,2165.28610075228,8,NaN,NaN
694.088863625366,1,873.295237992992,2,1387.49078747378,3,1536.90403989379,4,1810.01456564427,6,1746.76058933863,5,2303.00994663605,7,2371.70897725393,8,NaN,NaN
600.593261265522,1,745.587861157097,2,1200.18172357311,3,1462.80594263767,4,1519.31988857983,5,1653.20958061278,6,1989.61886008806,7,2107.10001723166,8,NaN,NaN
551.565758547258,1,702.630482884887,2,1056.64735858582,3,1211.92214003324,4,1332.59742488227,5,1368.82537151786,6,1625.68671099779,7,1728.70289033268,8,NaN,NaN
